bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,2,3,5,8,9,11,18,
1,2,3,4,8,11,17,18,
1,2,3,4,7,8,22,26,
1,2,3,4,6,10,12,21,
1,2,4,5,8,10,25,33,
1,2,4,6,7,9,11,15,
1,2,4,5,6,7,8,14,
1,2,3,4,10,11,13,23,
1,2,3,4,5,8,11,12,
1,2,5,6,7,9,10,18,
1,2,3,4,6,8,16,27,
1,2,3,6,9,10,12,16,
1,2,3,4,6,7,12,13,
1,3,4,11,12,15,19,24,
1,2,3,4,5,6,8,20,
1,2,4,5,8,11,12,31,
1,2,4,6,7,9,14,16,
1,2,3,5,7,13,16,26,
1,2,4,5,10,17,23,25,
1,2,6,7,9,17,18,19,
1,2,4,6,9,12,14,22,
1,2,3,4,5,7,12,27,
1,2,3,4,5,8,9,30,
1,2,3,4,5,9,10,12,
1,2,3,4,7,9,10,12,
1,2,3,4,7,8,14,15,
1,2,3,4,5,8,11,25,
1,2,3,4,5,7,11,12,
1,2,3,6,7,12,17,24,
1,2,3,4,6,9,10,12,
1,2,3,4,9,14,34,48,
1,2,3,4,5,8,11,15,
1,3,5,9,10,14,15,22,
1,2,3,4,7,8,10,15,
1,2,3,4,5,6,7,11,
1,2,3,4,6,9,11,23,
1,2,3,5,7,8,11,12,
1,2,4,5,8,24,29,38,
1,2,4,5,6,10,11,17,
1,2,3,4,6,10,11,12,
1,2,3,6,7,8,13,14,
1,2,3,4,5,6,8,10,
1,2,3,4,7,8,14,20,
1,2,3,6,8,9,18,30,
1,2,3,4,6,8,11,15,
1,2,3,4,5,10,11,14,
1,2,4,5,6,7,9,52,
1,2,3,5,6,9,15,23,
1,2,3,4,6,8,9,14,
1,2,3,4,7,13,16,42,
1,2,5,9,11,15,24,39,
1,2,3,6,7,9,12,19,
1,2,4,5,6,10,12,14,
1,2,3,5,7,9,17,28,
1,2,3,4,5,10,13,26,
1,3,4,5,7,11,12,27,
1,3,4,5,7,12,14,30,
1,2,3,4,7,8,9,15,
1,2,3,4,5,6,10,11,
1,2,3,4,5,6,7,24,
1,2,3,5,6,8,17,39,
1,3,4,5,6,7,10,13,
1,4,6,7,9,14,15,27,
1,2,3,4,5,7,16,26,
1,2,3,5,7,8,9,19,
1,2,3,6,8,12,16,17,
1,2,4,5,7,12,20,32,
1,2,4,6,7,10,16,29,
1,2,3,4,6,8,12,14,
1,2,3,5,6,12,21,22,
1,2,5,6,8,9,12,34,
1,3,4,6,8,12,14,20,
1,2,4,5,7,10,15,28,
1,2,4,5,6,8,9,12,
1,2,3,6,8,9,10,13,
1,3,4,5,8,14,18,20,
1,2,3,4,6,8,10,20,
1,2,3,4,5,6,11,33,
1,2,3,4,5,7,17,24,
1,3,4,6,7,11,13,25,
1,2,5,7,9,11,15,17,
1,2,4,5,7,10,12,22,
1,2,4,5,10,13,23,28,
1,2,4,6,7,9,10,21,
1,3,4,5,7,9,10,16,
1,3,4,5,6,7,22,25,
1,2,3,4,5,7,9,28,
1,4,5,9,10,11,18,20,
1,2,3,5,6,8,9,26,
1,3,4,5,10,11,12,25,
1,2,3,6,7,11,13,17,
1,2,3,4,7,12,30,31,
